"Time";"Frequency"
0;0
0.005805;0
0.01161;0
0.017415;0
0.02322;0
0.029025;613.33
0.03483;613.33
0.040635;613.33
0.04644;613.33
0.052245;616.88
0.05805;616.88
0.063855;624.05
0.06966;624.05
0.075465;627.67
0.08127;627.67
0.087075;627.67
0.09288;627.67
0.098685;627.67
0.10449;627.67
0.11029;624.05
0.1161;624.05
0.1219;624.05
0.12771;620.46
0.13351;620.46
0.13932;620.46
0.14512;620.46
0.15093;616.88
0.15673;616.88
0.16254;620.46
0.16834;620.46
0.17415;624.05
0.17995;624.05
0.18576;627.67
0.19156;631.3
0.19737;631.3
0.20317;634.96
0.20898;642.34
0.21478;646.06
0.22059;653.57
0.22639;657.35
0.2322;661.16
0.238;664.99
0.24381;668.84
0.24961;668.84
0.25542;668.84
0.26122;672.72
0.26703;672.72
0.27283;672.72
0.27864;668.84
0.28444;668.84
0.29025;668.84
0.29605;664.99
0.30186;661.16
0.30766;657.35
0.31347;657.35
0.31927;649.8
0.32508;638.64
0.33088;631.3
0.33669;627.67
0.34249;620.46
0.3483;616.88
0.3541;609.8
0.35991;606.29
0.36571;606.29
0.37152;609.8
0.37732;613.33
0.38313;620.46
0.38893;620.46
0.39474;627.67
0.40054;634.96
0.40635;642.34
0.41215;649.8
0.41796;664.99
0.42376;668.84
0.42957;672.72
0.43537;676.61
0.44118;680.53
0.44698;688.44
0.45279;696.44
0.45859;700.47
0.4644;700.47
0.4702;696.44
0.47601;692.43
0.48181;688.44
0.48762;684.48
0.49342;680.53
0.49923;676.61
0.50503;668.84
0.51084;664.99
0.51664;657.35
0.52245;642.34
0.52825;627.67
0.53406;616.88
0.53986;613.33
0.54567;613.33
0.55147;609.8
0.55728;609.8
0.56308;613.33
0.56889;616.88
0.57469;624.05
0.5805;627.67
0.5863;634.96
0.59211;638.64
0.59791;642.34
0.60372;653.57
0.60952;661.16
0.61533;668.84
0.62113;668.84
0.62694;672.72
0.63274;680.53
0.63855;688.44
0.64435;692.43
0.65016;696.44
0.65596;696.44
0.66177;696.44
0.66757;692.43
0.67338;688.44
0.67918;676.61
0.68499;668.84
0.69079;664.99
0.6966;664.99
0.7024;661.16
0.70821;646.06
0.71401;631.3
0.71982;620.46
0.72562;616.88
0.73143;616.88
0.73723;616.88
0.74304;616.88
0.74884;624.05
0.75465;631.3
0.76045;642.34
0.76626;646.06
0.77206;661.16
0.77787;664.99
0.78367;664.99
0.78948;668.84
0.79528;672.72
0.80109;688.44
0.80689;704.53
0.8127;708.61
0.8185;712.72
0.82431;712.72
0.83011;712.72
0.83592;708.61
0.84172;692.43
0.84753;676.61
0.85333;0
0.85914;334.42
0.86494;336.36
0.87075;340.27
0.87655;340.27
0.88236;342.24
0.88816;342.24
0.89397;344.22
0.89977;344.22
0.90558;342.24
0.91138;340.27
0.91719;340.27
0.92299;340.27
0.9288;342.24
0.9346;344.22
0.94041;344.22
0.94621;344.22
0.95202;344.22
0.95782;344.22
0.96363;346.21
0.96943;346.21
0.97524;344.22
0.98104;338.31
0.98685;334.42
0.99265;332.5
0.99846;332.5
1.0043;332.5
1.0101;334.42
1.0159;334.42
1.0217;334.42
1.0275;334.42
1.0333;338.31
1.0391;338.31
1.0449;338.31
1.0507;338.31
1.0565;340.27
1.0623;340.27
1.0681;340.27
1.0739;338.31
1.0797;342.24
1.0855;344.22
1.0913;352.27
1.0971;356.36
1.1029;358.42
1.1088;358.42
1.1146;356.36
1.1204;356.36
1.1262;364.69
1.132;373.21
1.1378;381.94
1.1436;390.86
1.1494;400
1.1552;400
1.161;400
1.1668;400
1.1726;402.32
1.1784;411.72
1.1842;414.11
1.19;418.92
1.1958;428.71
1.2016;433.69
1.2074;436.2
1.2132;438.73
1.219;441.27
1.2249;441.27
1.2307;441.27
1.2365;441.27
1.2423;441.27
1.2481;436.2
1.2539;436.2
1.2597;433.69
1.2655;436.2
1.2713;436.2
1.2771;436.2
1.2829;436.2
1.2887;436.2
1.2945;426.24
1.3003;416.5
1.3061;418.92
1.3119;428.71
1.3177;438.73
1.3235;441.27
1.3293;441.27
1.3351;438.73
1.341;433.69
1.3468;428.71
1.3526;426.24
1.3584;426.24
1.3642;423.79
1.37;414.11
1.3758;404.65
1.3816;395.41
1.3874;386.37
1.3932;377.55
1.399;368.93
1.4048;360.5
1.4106;352.27
1.4164;344.22
1.4222;336.36
1.428;328.68
1.4338;328.68
1.4396;326.78
1.4454;328.68
1.4512;328.68
1.4571;330.58
1.4629;330.58
1.4687;332.5
1.4745;340.27
1.4803;348.22
1.4861;356.36
1.4919;364.69
1.4977;373.21
1.5035;381.94
1.5093;390.86
1.5151;397.7
1.5209;400
1.5267;409.35
1.5325;418.92
1.5383;426.24
1.5441;428.71
1.5499;428.71
1.5557;431.19
1.5615;431.19
1.5673;431.19
1.5732;431.19
1.579;431.19
1.5848;421.34
1.5906;411.72
1.5964;411.72
1.6022;416.5
1.608;414.11
1.6138;421.34
1.6196;426.24
1.6254;428.71
1.6312;431.19
1.637;433.69
1.6428;423.79
1.6486;414.11
1.6544;404.65
1.6602;395.41
1.666;393.13
1.6718;393.13
1.6776;393.13
1.6834;393.13
1.6893;393.13
1.6951;390.86
1.7009;381.94
1.7067;373.21
1.7125;364.69
1.7183;356.36
1.7241;348.22
1.7299;340.27
1.7357;332.5
1.7415;328.68
1.7473;330.58
1.7531;330.58
1.7589;330.58
1.7647;328.68
1.7705;330.58
1.7763;328.68
1.7821;328.68
1.7879;330.58
1.7937;330.58
1.7995;330.58
1.8054;441.27
1.8112;441.27
1.817;431.19
1.8228;421.34
1.8286;411.72
1.8344;402.32
1.8402;393.13
1.846;384.15
1.8518;375.38
1.8576;366.8
1.8634;373.21
1.8692;379.74
1.875;384.15
1.8808;388.61
1.8866;393.13
1.8924;400
1.8982;402.32
1.904;402.32
1.9098;402.32
1.9156;400
1.9215;400
1.9273;400
1.9331;404.65
1.9389;404.65
1.9447;406.99
1.9505;406.99
1.9563;411.72
1.9621;411.72
1.9679;414.11
1.9737;416.5
1.9795;418.92
1.9853;421.34
1.9911;421.34
1.9969;428.71
2.0027;433.69
2.0085;438.73
2.0143;438.73
2.0201;441.27
2.0259;443.83
2.0317;443.83
2.0376;446.4
2.0434;446.4
2.0492;446.4
2.055;443.83
2.0608;441.27
2.0666;438.73
2.0724;436.2
2.0782;433.69
2.084;428.71
2.0898;418.92
2.0956;409.35
2.1014;400
2.1072;395.41
2.113;393.13
2.1188;390.86
2.1246;388.61
2.1304;388.61
2.1362;388.61
2.142;393.13
2.1478;397.7
2.1537;402.32
2.1595;404.65
2.1653;414.11
2.1711;423.79
2.1769;433.69
2.1827;438.73
2.1885;443.83
2.1943;446.4
2.2001;451.59
2.2059;454.2
2.2117;456.83
2.2175;459.48
2.2233;459.48
2.2291;454.2
2.2349;451.59
2.2407;448.98
2.2465;446.4
2.2523;436.2
2.2581;431.19
2.2639;428.71
2.2698;423.79
2.2756;414.11
2.2814;404.65
2.2872;395.41
2.293;393.13
2.2988;393.13
2.3046;393.13
2.3104;393.13
2.3162;395.41
2.322;397.7
2.3278;400
2.3336;404.65
2.3394;414.11
2.3452;423.79
2.351;433.69
2.3568;441.27
2.3626;443.83
2.3684;446.4
2.3742;451.59
2.38;454.2
2.3859;456.83
2.3917;462.14
2.3975;462.14
2.4033;459.48
2.4091;456.83
2.4149;451.59
2.4207;448.98
2.4265;448.98
2.4323;441.27
2.4381;433.69
2.4439;423.79
2.4497;421.34
2.4555;418.92
2.4613;411.72
2.4671;406.99
2.4729;406.99
2.4787;406.99
2.4845;409.35
2.4903;416.5
2.4961;418.92
2.502;426.24
2.5078;436.2
2.5136;441.27
2.5194;441.27
2.5252;443.83
2.531;446.4
2.5368;451.59
2.5426;459.48
2.5484;462.14
2.5542;464.82
2.56;462.14
2.5658;459.48
2.5716;456.83
2.5774;451.59
2.5832;448.98
2.589;448.98
2.5948;448.98
2.6006;456.83
2.6064;462.14
2.6122;459.48
2.618;459.48
2.6239;451.59
2.6297;441.27
2.6355;441.27
2.6413;441.27
2.6471;441.27
2.6529;441.27
2.6587;446.4
2.6645;456.83
2.6703;467.51
2.6761;475.68
2.6819;486.8
2.6877;489.62
2.6935;501.07
2.6993;506.89
2.7051;509.82
2.7109;512.78
2.7167;509.82
2.7225;506.89
2.7283;506.89
2.7341;503.97
2.74;498.18
2.7458;486.8
2.7516;481.21
2.7574;475.68
2.7632;472.94
2.769;462.14
2.7748;456.83
2.7806;454.2
2.7864;451.59
2.7922;451.59
2.798;454.2
2.8038;456.83
2.8096;459.48
2.8154;464.82
2.8212;467.51
2.827;478.44
2.8328;489.62
2.8386;495.31
2.8444;506.89
2.8502;512.78
2.8561;515.75
2.8619;515.75
2.8677;515.75
2.8735;512.78
2.8793;512.78
2.8851;509.82
2.8909;506.89
2.8967;503.97
2.9025;498.18
2.9083;492.46
2.9141;481.21
2.9199;475.68
2.9257;472.94
2.9315;464.82
2.9373;464.82
2.9431;462.14
2.9489;459.48
2.9547;459.48
2.9605;459.48
2.9663;464.82
2.9722;475.68
2.978;486.8
2.9838;489.62
2.9896;492.46
2.9954;501.07
3.0012;503.97
3.007;509.82
3.0128;509.82
3.0186;512.78
3.0244;509.82
3.0302;506.89
3.036;503.97
3.0418;501.07
3.0476;498.18
3.0534;503.97
3.0592;509.82
3.065;512.78
3.0708;515.75
3.0766;515.75
3.0824;515.75
3.0883;518.74
3.0941;521.74
3.0999;524.76
3.1057;518.74
3.1115;512.78
3.1173;509.82
3.1231;509.82
3.1289;498.18
3.1347;498.18
3.1405;498.18
3.1463;498.18
3.1521;498.18
3.1579;495.31
3.1637;495.31
3.1695;498.18
3.1753;506.89
3.1811;512.78
3.1869;518.74
3.1927;530.86
3.1985;543.27
3.2044;549.58
3.2102;552.77
3.216;559.19
3.2218;562.43
3.2276;562.43
3.2334;559.19
3.2392;559.19
3.245;555.97
3.2508;552.77
3.2566;549.58
3.2624;549.58
3.2682;552.77
3.274;555.97
3.2798;559.19
3.2856;555.97
3.2914;555.97
3.2972;555.97
3.303;555.97
3.3088;555.97
3.3146;549.58
3.3205;540.14
3.3263;540.14
3.3321;549.58
3.3379;552.77
3.3437;555.97
3.3495;552.77
3.3553;552.77
3.3611;543.27
3.3669;546.42
3.3727;540.14
3.3785;527.8
3.3843;540.14
3.3901;552.77
3.3959;555.97
3.4017;559.19
3.4075;559.19
3.4133;555.97
3.4191;555.97
3.4249;552.77
3.4307;549.58
3.4366;549.58
3.4424;552.77
3.4482;555.97
3.454;555.97
3.4598;555.97
3.4656;555.97
3.4714;552.77
3.4772;555.97
3.483;555.97
3.4888;543.27
3.4946;546.42
3.5004;546.42
3.5062;549.58
3.512;555.97
3.5178;559.19
3.5236;565.69
3.5294;568.96
3.5352;568.96
3.541;568.96
3.5468;568.96
3.5527;568.96
3.5585;568.96
3.5643;568.96
3.5701;568.96
3.5759;555.97
3.5817;543.27
3.5875;533.94
3.5933;521.74
3.5991;515.75
3.6049;503.97
3.6107;498.18
3.6165;492.46
3.6223;492.46
3.6281;492.46
3.6339;495.31
3.6397;498.18
3.6455;503.97
3.6513;512.78
3.6571;518.74
3.6629;524.76
3.6688;533.94
3.6746;543.27
3.6804;555.97
3.6862;565.69
3.692;568.96
3.6978;568.96
3.7036;568.96
3.7094;568.96
3.7152;555.97
3.721;543.27
3.7268;530.86
3.7326;537.03
3.7384;549.58
3.7442;562.43
3.75;568.96
3.7558;568.96
3.7616;559.19
3.7674;546.42
3.7732;533.94
3.779;530.86
3.7849;521.74
3.7907;509.82
3.7965;498.18
3.8023;486.8
3.8081;484
3.8139;484
3.8197;486.8
3.8255;489.62
3.8313;492.46
3.8371;503.97
3.8429;512.78
3.8487;518.74
3.8545;530.86
3.8603;540.14
3.8661;543.27
3.8719;543.27
3.8777;533.94
3.8835;521.74
3.8893;509.82
3.8951;512.78
3.901;512.78
3.9068;521.74
3.9126;533.94
3.9184;543.27
3.9242;555.97
3.93;568.96
3.9358;568.96
3.9416;562.43
3.9474;549.58
3.9532;537.03
3.959;527.8
3.9648;518.74
3.9706;506.89
3.9764;503.97
3.9822;498.18
3.988;498.18
3.9938;501.07
3.9996;512.78
4.0054;518.74
4.0112;521.74
4.0171;521.74
4.0229;524.76
4.0287;537.03
4.0345;540.14
4.0403;549.58
4.0461;562.43
4.0519;568.96
4.0577;559.19
4.0635;555.97
4.0693;568.96
4.0751;568.96
4.0809;555.97
4.0867;552.77
4.0925;552.77
4.0983;559.19
4.1041;565.69
4.1099;552.77
4.1157;540.14
4.1215;527.8
4.1273;515.75
4.1332;503.97
4.139;492.46
4.1448;492.46
4.1506;492.46
4.1564;495.31
4.1622;498.18
4.168;501.07
4.1738;489.62
4.1796;478.44
4.1854;472.94
4.1912;475.68
4.197;472.94
4.2028;472.94
4.2086;470.22
4.2144;472.94
4.2202;472.94
4.226;472.94
4.2318;470.22
4.2376;472.94
4.2434;470.22
4.2493;470.22
4.2551;470.22
4.2609;470.22
4.2667;459.48
4.2725;448.98
4.2783;438.73
4.2841;428.71
4.2899;418.92
4.2957;418.92
4.3015;418.92
4.3073;418.92
4.3131;418.92
4.3189;418.92
4.3247;418.92
4.3305;428.71
4.3363;438.73
4.3421;448.98
4.3479;459.48
4.3537;462.14
4.3595;467.51
4.3654;478.44
4.3712;486.8
4.377;492.46
4.3828;492.46
4.3886;495.31
4.3944;495.31
4.4002;492.46
4.406;492.46
4.4118;489.62
4.4176;484
4.4234;478.44
4.4292;467.51
4.435;459.48
4.4408;456.83
4.4466;451.59
4.4524;446.4
4.4582;443.83
4.464;441.27
4.4698;438.73
4.4756;436.2
4.4815;436.2
4.4873;441.27
4.4931;443.83
4.4989;454.2
4.5047;464.82
4.5105;475.68
4.5163;484
4.5221;489.62
4.5279;501.07
4.5337;512.78
4.5395;521.74
4.5453;530.86
4.5511;533.94
4.5569;540.14
4.5627;540.14
4.5685;540.14
4.5743;540.14
4.5801;540.14
4.5859;537.03
4.5917;533.94
4.5976;521.74
4.6034;509.82
4.6092;498.18
4.615;486.8
4.6208;475.68
4.6266;464.82
4.6324;454.2
4.6382;446.4
4.644;0
4.6498;0
4.6556;0
4.6614;0
4.6672;0
4.673;0
4.6788;0
4.6846;0
4.6904;0
4.6962;0
4.702;0
4.7078;0
4.7137;0
4.7195;0
4.7253;0
4.7311;0
4.7369;0
4.7427;0
4.7485;0
4.7543;0
4.7601;0
4.7659;0
4.7717;0
4.7775;0
4.7833;0
4.7891;0
4.7949;0
4.8007;0
4.8065;0
4.8123;0
4.8181;0
4.8239;0
4.8298;0
4.8356;0
4.8414;0
4.8472;0
4.853;0
4.8588;0
4.8646;0
4.8704;0
4.8762;0
4.882;0
4.8878;0
4.8936;0
4.8994;0
4.9052;0
4.911;0
4.9168;0
4.9226;0
4.9284;0
4.9342;0
4.94;0
4.9459;0
4.9517;0
4.9575;0
4.9633;0
4.9691;0
4.9749;0
4.9807;0
4.9865;0
4.9923;0
4.9981;0
5.0039;0
5.0097;0
5.0155;0
5.0213;0
5.0271;0
5.0329;0
5.0387;0
5.0445;0
5.0503;0
5.0561;0
5.062;0
5.0678;0
5.0736;0
5.0794;0
5.0852;0
5.091;0
5.0968;0
5.1026;0
5.1084;0
5.1142;0
5.12;0
5.1258;0
5.1316;0
5.1374;0
5.1432;0
5.149;0
5.1548;0
5.1606;0
5.1664;0
5.1722;0
5.178;0
5.1839;0
5.1897;0
5.1955;0
5.2013;0
5.2071;0
5.2129;0
5.2187;0
5.2245;0
5.2303;0
5.2361;0
5.2419;0
5.2477;0
5.2535;0
5.2593;0
5.2651;0
5.2709;0
5.2767;0
5.2825;0
5.2883;0
5.2941;0
5.3;0
5.3058;0
5.3116;0
5.3174;0
5.3232;0
5.329;0
5.3348;0
5.3406;0
5.3464;0
5.3522;0
5.358;0
5.3638;0
5.3696;0
5.3754;0
5.3812;0
5.387;0
5.3928;0
5.3986;0
5.4044;0
5.4102;0
5.4161;0
5.4219;0
5.4277;0
5.4335;0
5.4393;0
5.4451;0
5.4509;0
5.4567;0
5.4625;0
5.4683;0
5.4741;0
5.4799;0
5.4857;0
5.4915;0
5.4973;0
5.5031;0
5.5089;0
5.5147;0
5.5205;0
5.5263;0
